Amount,Transaction Type,Category
15.18,debit,Restaurants
5.9,debit,Coffee Shops
30.73,debit,Restaurants
106.15,debit,Shopping
12,debit,Restaurants
7.52,debit,Coffee Shops
25.33,debit,Rental Car & Taxi
13.58,debit,Fast Food
9.11,debit,Alcohol & Bars
0.19,credit,Interest Income
50,debit,529
39.89,debit,Restaurants
3.45,debit,Coffee Shops
6.09,debit,Restaurants
1.5,debit,Parking
11.4,debit,Restaurants
2.9,debit,Restaurants
8.41,debit,Gas & Fuel
50,credit,Investments
22.06,debit,Rental Car & Taxi
5.12,debit,Restaurants
6.95,debit,Bank Fee
6.95,credit,Bank Fee
35.95,debit,Groceries
5.63,debit,Restaurants
8.64,debit,Restaurants
11.79,debit,Restaurants
53.21,debit,Investments
53.21,credit,Dividend & Cap Gains
33.12,debit,Personal Care
5.79,debit,Coffee Shops
7.08,debit,Coffee Shops
10.03,debit,Coffee Shops
16.51,debit,Groceries
2.63,debit,Coffee Shops
9.65,debit,Uncategorized
2.95,debit,Restaurants
3.7,debit,Coffee Shops
27.74,debit,Restaurants
5.85,debit,Coffee Shops
42.83,debit,Restaurants
6,debit,Coffee Shops
2.94,debit,Gas & Fuel
64.99,debit,Internet
7.79,debit,Coffee Shops
8.72,debit,Coffee Shops
3.06,debit,Coffee Shops
0.01,credit,Income
1568.26,credit,Paycheck
2.8,debit,Investments
2.8,credit,Dividend & Cap Gains
2.92,debit,Coffee Shops
8.72,debit,Coffee Shops
15.24,debit,Restaurants
6.33,debit,Coffee Shops
2.92,debit,Coffee Shops
8.16,debit,Coffee Shops
1610.08,debit,Credit Card Payment
16.57,debit,Food & Dining
1610.08,credit,Credit Card Payment
20,debit,Web hosting
16.27,debit,Groceries
15.99,debit,Entertainment
17.68,debit,Restaurants
41.26,debit,Restaurants
20,debit,Doctor
2.92,debit,Coffee Shops
2.92,debit,Coffee Shops
17.1,debit,Groceries
17.51,debit,Restaurants
2.92,debit,Coffee Shops
45.35,debit,Restaurants
9.92,debit,Coffee Shops
2.92,debit,Coffee Shops
43.47,debit,Mobile Phone
2.92,debit,Coffee Shops
64.99,debit,Credit Card Payment
5.79,debit,Groceries
10.92,debit,Coffee Shops
30,debit,Pharmacy
64.99,credit,Credit Card Payment
6.33,debit,Coffee Shops
6,debit,Movies & DVDs
23.98,debit,Restaurants
55.88,debit,Groceries
127.53,debit,Restaurants
5.88,debit,Coffee Shops
233.19,debit,Alcohol & Bars
19.29,debit,Gas & Fuel
15.37,debit,Restaurants
3.06,debit,Coffee Shops
9.92,debit,Coffee Shops
3.06,debit,Coffee Shops
30.32,debit,Utilities
850,debit,Rent
407,debit,Air Travel
5.88,debit,Coffee Shops
12.83,debit,Restaurants
1.25,debit,Parking
20,debit,Doctor
14.07,debit,Fast Food
41.35,credit,Dividend & Cap Gains
9.63,debit,Investments
16,debit,Investments
16,credit,Dividend & Cap Gains
9.63,credit,Dividend & Cap Gains
41.35,debit,Investments
7.14,debit,Coffee Shops
5.84,debit,Coffee Shops
1568.27,credit,Paycheck
0.05,credit,Dividend & Cap Gains
0.05,debit,Investments
19.67,debit,Groceries
12.02,debit,Coffee Shops
1.25,debit,Coffee Shops
14.08,debit,Restaurants
5.4,debit,Coffee Shops
7,debit,Fast Food
10.97,debit,Restaurants
3.41,debit,Coffee Shops
17.13,debit,Alcohol & Bars
41.36,debit,Shopping
35.07,debit,Utilities
1.55,debit,Parking
22.98,debit,Sporting Goods
18.8,debit,Shopping
6.39,debit,Restaurants
20,debit,Doctor
0.17,credit,Interest Income
50,debit,529
15.17,debit,Business Services
50,credit,Investments
3.41,debit,Coffee Shops
39.72,debit,Groceries
14.68,debit,Gas & Fuel
17.13,debit,Sporting Goods
9.47,debit,Fast Food
2.57,debit,Coffee Shops
6.95,credit,Bank Fee
6.95,debit,Bank Fee
5.51,debit,Fast Food
44.45,debit,Restaurants
3,debit,ATM Fee
100,debit,Cash & ATM
2.5,debit,ATM Fee
2.68,debit,Restaurants
3.19,debit,Restaurants
64.99,debit,Internet
21.09,debit,Investments
126.8,debit,Restaurants
21.09,credit,Investments
9.43,debit,Coffee Shops
54.03,debit,Groceries
14.33,debit,Coffee Shops
29.99,debit,Rental Car & Taxi
1568.26,credit,Paycheck
2029.39,debit,Credit Card Payment
10.92,debit,Coffee Shops
30,debit,Restaurants
20,debit,Web hosting
11.02,debit,Coffee Shops
2029.39,credit,Credit Card Payment
1.6,debit,Hobbies
30,debit,Pharmacy
2.92,debit,Coffee Shops
20,debit,Doctor
43.47,debit,Mobile Phone
3.06,debit,Coffee Shops
9.56,debit,Coffee Shops
64.99,debit,Credit Card Payment
270,credit,Freelance
2.79,debit,Fast Food
35.66,debit,Groceries
1.9,debit,Coffee Shops
2.17,debit,Coffee Shops
11.76,debit,Groceries
25.67,debit,Electronics & Software
2.92,debit,Coffee Shops
41.72,debit,Groceries
2.92,debit,Coffee Shops
64.99,credit,Credit Card Payment
9.92,debit,Coffee Shops
99.2,debit,Restaurants
40,debit,Hair
21.59,debit,Gas & Fuel
2.1,debit,Gas & Fuel
24.14,debit,Coffee Shops
58.83,debit,Restaurants
253.98,debit,Air Travel
24,debit,Utilities
23.4,debit,Groceries
425,debit,Rent
49.72,debit,Groceries
11.02,debit,Coffee Shops
9.92,debit,Coffee Shops
6.76,debit,Coffee Shops
3.06,debit,Coffee Shops
1568.27,credit,Paycheck
0.04,debit,Investments
0.04,credit,Dividend & Cap Gains
12.02,debit,Coffee Shops
11.1,debit,Restaurants
2.61,debit,Coffee Shops
40.82,debit,Utilities
41.03,debit,Restaurants
3.06,debit,Coffee Shops
29.9,debit,Shopping
0.21,credit,Interest Income
4.68,debit,Hobbies
3.06,debit,Coffee Shops
50,debit,529
2.92,debit,Coffee Shops
2.92,debit,Coffee Shops
42.61,debit,Groceries
14.46,debit,Entertainment
19.93,debit,Groceries
14,debit,Personal Care
23.29,debit,Groceries
7.27,debit,Coffee Shops
2.16,debit,Fast Food
18.03,debit,Hobbies
20.85,debit,Gas & Fuel
25.87,debit,Hobbies
22.83,debit,Restaurants
1.67,debit,Restaurants
6.95,debit,Bank Fee
6.95,credit,Bank Fee
50,credit,Investments
9.9,debit,Groceries
7.72,debit,Coffee Shops
5.88,debit,Coffee Shops
9.92,debit,Coffee Shops
14,debit,Alcohol & Bars
2.92,debit,Coffee Shops
19.66,credit,Hobbies
2.96,debit,Coffee Shops
24.59,debit,Restaurants
3.06,debit,Coffee Shops
32.09,credit,Hobbies
10168,debit,Federal Tax
15.26,debit,Groceries
36.08,debit,Groceries
11.02,debit,Coffee Shops
61.5,debit,Shopping
29.35,debit,Restaurants
2.7,debit,Coffee Shops
64.99,debit,Internet
66.4,debit,Entertainment
12,debit,Food & Dining
0.75,debit,Parking
1568.26,credit,Paycheck
31.25,debit,Restaurants
3.06,debit,Coffee Shops
7.79,debit,Coffee Shops
68.05,debit,Hobbies
28.16,debit,Restaurants
19.49,debit,Gas & Fuel
94.75,debit,Hobbies
3.06,debit,Coffee Shops
5.94,debit,Business Services
1678.14,debit,Credit Card Payment
20,debit,Web hosting
21.57,debit,Home Improvement
1678.14,credit,Credit Card Payment
4.27,debit,Groceries
18.31,debit,Groceries
15.31,debit,Restaurants
35.02,debit,Furnishings
2.19,debit,Coffee Shops
3.85,debit,Groceries
3.96,debit,Coffee Shops
43.65,debit,Groceries
147.81,debit,Furnishings
136.83,debit,Clothing
15.57,debit,Alcohol & Bars
43.47,debit,Mobile Phone
3.65,debit,Gas & Fuel
11.59,debit,Fast Food
8,debit,Alcohol & Bars
3.77,debit,Restaurants
36.23,debit,Food & Dining
83.9,debit,Hobbies
425,debit,Rent
35.01,debit,Restaurants
59.99,debit,Credit Card Payment
10.92,debit,Coffee Shops
17.42,debit,Groceries
59.99,credit,Credit Card Payment
1595,debit,State Tax
4.74,debit,Auto & Transport
3.53,debit,Hobbies
75.85,debit,Hobbies
29.92,debit,Utilities
2.44,debit,Groceries
364,debit,Auto Insurance
50,debit,Cash & ATM
2.31,debit,Coffee Shops
53.17,debit,Groceries
15.22,debit,Restaurants
10.86,debit,Coffee Shops
3.41,debit,Coffee Shops
40.1,debit,Restaurants
7.27,debit,Coffee Shops
13.76,debit,Restaurants
1568.27,credit,Paycheck
0.14,credit,Dividend & Cap Gains
0.14,debit,Investments
159,credit,Credit Card Payment
20,debit,Doctor
8.56,debit,Restaurants
82.96,debit,Shopping
65.79,debit,Utilities
13.9,debit,Groceries
2306.48,credit,Freelance
2.17,debit,Coffee Shops
57.29,debit,Groceries
19.4,debit,Gas & Fuel
35.57,debit,Alcohol & Bars
8.19,debit,Restaurants
8.27,debit,Coffee Shops
16.19,debit,Hobbies
2.61,debit,Coffee Shops
6.4,debit,Movies & DVDs
4.33,debit,Movies & DVDs
9.86,debit,Coffee Shops
7.78,debit,Groceries
0.17,credit,Interest Income
50,debit,529
49.2,credit,Dividend & Cap Gains
49.2,debit,Investments
3.06,debit,Coffee Shops
50,credit,Investments
13.07,debit,Restaurants
3.13,debit,Home Improvement
6.95,debit,Bank Fee
6.95,credit,Bank Fee
540,credit,Income
2.04,debit,Coffee Shops
6.33,debit,Coffee Shops
53.18,debit,Groceries
30.44,debit,Restaurants
64.99,debit,Internet
9.86,debit,Coffee Shops
54.13,debit,Restaurants
4.29,debit,Coffee Shops
13.45,debit,Hobbies
11.96,debit,Coffee Shops
30,debit,Hair
18.23,debit,Business Services
1.77,debit,Groceries
11.1,debit,Restaurants
2.7,debit,Coffee Shops
126.98,debit,Taxes
64.83,debit,Groceries
9.86,debit,Coffee Shops
28.46,debit,Groceries
3,debit,Parking
27.25,debit,Utilities
1568.26,credit,Paycheck
20,debit,Doctor
1240.69,debit,Credit Card Payment
1991.2,credit,Investments
5.94,debit,Home Improvement
3.41,debit,Coffee Shops
30.93,debit,Movies & DVDs
9.86,debit,Coffee Shops
1240.69,credit,Credit Card Payment
20,debit,Web hosting
5.11,debit,Coffee Shops
129,debit,Amusement
24,debit,Hobbies
55.87,debit,Hobbies
43.47,debit,Mobile Phone
2000,debit,Investment
2000,credit,Investments
2000,debit,Investments
17,debit,Sports
19.18,debit,Gas & Fuel
59.55,debit,Hobbies
15.03,debit,Groceries
1.82,debit,Parking
10.86,debit,Coffee Shops
54.03,debit,Hair
1991.2,debit,Buy
9.92,debit,Restaurants
59.99,debit,Credit Card Payment
27.48,debit,Groceries
6.33,debit,Coffee Shops
10.86,debit,Coffee Shops
4.79,debit,Home Improvement
59.99,credit,Credit Card Payment
9.16,debit,Rental Car & Taxi
9.78,debit,Shopping
2.92,debit,Coffee Shops
16.5,debit,Restaurants
78.01,debit,Restaurants
6.33,debit,Coffee Shops
11.55,debit,Groceries
32.71,debit,Restaurants
1.5,debit,Parking
36.04,debit,Restaurants
17.62,debit,Hobbies
159.2,credit,Credit Card Payment
13.7,debit,Hobbies
29.2,debit,Groceries
55.24,debit,Service & Parts
425,debit,Rent
9.57,debit,Investments
9.57,credit,Dividend & Cap Gains
70.65,debit,Restaurants
10.96,debit,Coffee Shops
8.89,debit,Rental Car & Taxi
1568.27,credit,Paycheck
0.31,credit,Dividend & Cap Gains
0.31,debit,Investments
64.17,debit,Groceries
29,debit,Hobbies
5393.49,credit,Investments
1.62,debit,Home Improvement
13.07,debit,Restaurants
6.14,debit,Restaurants
16.27,debit,Food & Dining
11.34,debit,Coffee Shops
11.42,debit,Food & Dining
0.18,credit,Interest Income
74.27,debit,Utilities
5445.88,debit,Investments
16,credit,Dividend & Cap Gains
9.9,debit,Groceries
50,debit,529
9.24,debit,Investments
9.24,credit,Dividend & Cap Gains
10.29,debit,Groceries
6.95,debit,Bank Fee
6.95,credit,Bank Fee
50,credit,Investments
1093.75,credit,Investments
5393.49,debit,Buy
222,debit,Clothing
2.92,debit,Coffee Shops
6.33,debit,Coffee Shops
5429.88,credit,Sell
9.76,debit,Home Improvement
31.35,debit,Groceries
4.33,credit,Home Improvement
2.92,debit,Coffee Shops
2.92,debit,Coffee Shops
10.57,debit,Fast Food
4.33,debit,Home Improvement
2.92,debit,Coffee Shops
54.89,debit,Business Services
1000,debit,Investment
1000,debit,Investments
1000,credit,Investments
9.86,debit,Coffee Shops
1093.75,debit,Buy
21.37,debit,Investments
59.99,debit,Internet
21.37,credit,Investments
21.92,debit,Gas & Fuel
9.9,debit,Groceries
1.63,debit,Gas & Fuel
1568.26,credit,Paycheck
8.82,debit,Home Improvement
7.99,debit,Home Improvement
1.83,debit,Home Improvement
19.99,debit,Entertainment
818.04,debit,Credit Card Payment
80,debit,Cash & ATM
40.99,debit,Groceries
2.86,debit,Food & Dining
31.75,debit,Entertainment
26.02,debit,Lawn & Garden
7.32,debit,Home Improvement
818.04,credit,Credit Card Payment
4.35,debit,Business Services
24.64,debit,Alcohol & Bars
8.48,debit,Food & Dining
20,debit,Web hosting
5.35,debit,Business Services
3.06,debit,Restaurants
48.91,debit,Shopping
10.86,debit,Business Services
8.04,debit,Shopping
24.97,debit,Shopping
35.05,debit,Gift
18.3,debit,Shopping
2.92,debit,Coffee Shops
13.6,debit,Groceries
1.28,debit,Home Improvement
10.86,debit,Coffee Shops
43.47,debit,Mobile Phone
27.01,debit,Groceries
3000,debit,529
81.99,debit,Hobbies
437.76,debit,Credit Card Payment
325,credit,Freelance
3000,credit,Investments
2.92,debit,Coffee Shops
28.29,debit,Food & Dining
42.15,debit,Groceries
18.66,debit,Home Improvement
6.4,credit,Home Improvement
437.76,credit,Credit Card Payment
11.96,debit,Coffee Shops
3.41,debit,Coffee Shops
25.84,debit,Restaurants
39.35,debit,Home Improvement
10.86,debit,Coffee Shops
31.4,debit,Utilities
12,debit,Electronics & Software
11.57,debit,Groceries
13.67,debit,Groceries
1587.03,credit,Paycheck
0.03,debit,Investments
0.03,credit,Dividend & Cap Gains
9.77,debit,Groceries
11.96,debit,Coffee Shops
25.16,debit,Groceries
33.4,debit,Restaurants
13.98,debit,Restaurants
46.1,debit,Restaurants
6.42,debit,Coffee Shops
14.43,debit,Restaurants
8.72,debit,Coffee Shops
22,debit,Business Services
93,debit,Utilities
10.86,debit,Coffee Shops
7.8,debit,Newspapers & Magazines
2.5,debit,Groceries
0.21,credit,Interest Income
29,debit,Eyecare
2.5,debit,Parking
9.73,debit,Groceries
5.01,credit,Shopping
6.95,debit,Bank Fee
6.95,credit,Bank Fee
13.37,debit,Shopping
2.92,debit,Coffee Shops
1.95,debit,Coffee Shops
37.62,debit,Groceries
9.77,debit,Groceries
2.92,debit,Coffee Shops
15.59,debit,Restaurants
21.92,debit,Pet Food & Supplies
4.33,credit,Home Improvement
1.62,debit,Gas & Fuel
7.67,debit,Groceries
6.54,debit,Groceries
21.82,debit,Gas & Fuel
4.98,debit,Uncategorized
25.34,debit,Restaurants
11.95,debit,Uncategorized
11.42,debit,Food & Dining
5.85,debit,Business Services
1.73,debit,Groceries
13.9,debit,Restaurants
51.9,debit,Hobbies
15.05,debit,Home Improvement
4.96,credit,Home Improvement
5.66,debit,Home Improvement
5.84,credit,Home Improvement
3.8,debit,Coffee Shops
10.23,debit,Home Improvement
8.67,debit,Furnishings
30.34,debit,Business Services
20,debit,Pharmacy
59.99,debit,Internet
6,debit,Coffee Shops
1568.26,credit,Paycheck
20,debit,Pharmacy
70.21,debit,Groceries
2319.93,debit,Credit Card Payment
20,debit,Web hosting
2319.93,credit,Credit Card Payment
6.61,debit,Hobbies
0.96,debit,Hobbies
2.17,debit,Movies & DVDs
7.22,debit,Pharmacy
43.47,debit,Mobile Phone
11.68,debit,Restaurants
25.52,debit,Groceries
19.53,debit,Alcohol & Bars
1.73,debit,Pharmacy
13.57,debit,Home Improvement
59.99,debit,Credit Card Payment
40,debit,Personal Care
59.99,credit,Credit Card Payment
29.36,debit,Utilities
20,debit,Doctor
9.8,debit,Restaurants
5500,debit,Investment
5500,credit,Deposit
850,debit,Rent
5500,debit,Buy
41.07,debit,Groceries
5.42,debit,Furnishings
8.7,debit,Rental Car & Taxi
159.2,debit,Education
3.33,debit,Fast Food
14.97,debit,Restaurants
4.5,debit,Parking
45.61,debit,Groceries
5.55,debit,Restaurants
1.13,debit,Parking
13.75,debit,Food & Dining
2764.71,credit,Paycheck
1490.45,credit,Paycheck
0.03,credit,Dividend & Cap Gains
0.03,debit,Investments
60.23,debit,Food & Dining
103.48,debit,Groceries
18.9,debit,Groceries
31.67,debit,Shopping
28.57,debit,Restaurants
5.99,debit,Travel
4.06,debit,Newspapers & Magazines
2.5,debit,Groceries
1168,credit,Income
60,debit,Cash Withdrawel
96.91,debit,Utilities
10.16,debit,Restaurants
0.17,credit,Interest Income
11.33,debit,Restaurants
15.25,debit,Restaurants
6.95,debit,Bank Fee
6.95,credit,Bank Fee
15.95,debit,Restaurants
12.99,debit,Shopping
13.6,debit,Groceries
11.96,debit,Coffee Shops
31.35,debit,Groceries
34.03,debit,Investments
34.03,credit,Dividend & Cap Gains
3,debit,Restaurants
9.67,debit,Coffee Shops
25.52,debit,Groceries
8.16,debit,Restaurants
15.83,debit,Shopping
2.14,debit,Shopping
4.35,debit,Coffee Shops
12,debit,Restaurants
59.99,debit,Internet
526,debit,Hotel
1490.45,credit,Paycheck
2.92,debit,Coffee Shops
24.62,debit,Groceries
11.96,debit,Coffee Shops
1560.17,debit,Credit Card Payment
20,debit,Web hosting
1.63,debit,Gas & Fuel
16.78,debit,Gas & Fuel
1560.17,credit,Credit Card Payment
11.68,debit,Restaurants
1.59,debit,Entertainment
114.09,debit,Restaurants
8.27,debit,Coffee Shops
10.86,debit,Coffee Shops
45.01,debit,Home Improvement
9,debit,Hobbies
7,debit,Alcohol & Bars
28.02,debit,Food & Dining
43.47,debit,Mobile Phone
31.1,debit,Shopping
12.12,debit,Alcohol & Bars
2.92,debit,Coffee Shops
18.14,debit,Shopping
425,debit,Rent
10,debit,Doctor
59.99,debit,Credit Card Payment
25,debit,Shopping
9.16,debit,Shopping
11.75,debit,Shopping
59.99,credit,Credit Card Payment
141.27,debit,Furnishings
61.35,debit,Business Services
55.78,debit,Groceries
1.94,debit,Fast Food
10,debit,Pharmacy
3.45,debit,Fast Food
6.51,debit,Fast Food
25.33,debit,Utilities
18.76,debit,Rental Car & Taxi
72.59,debit,Restaurants
10.25,debit,Uncategorized
6.29,debit,Coffee Shops
80,debit,Cash Withdrawel
9.5,debit,Investments
9.5,credit,Dividend & Cap Gains
169.77,debit,Check
1490.44,credit,Paycheck
0.11,credit,Dividend & Cap Gains
0.11,debit,Investments
2.5,debit,Groceries
4.06,debit,Newspapers & Magazines
324.03,debit,Home
22.98,debit,Clothing
6.68,debit,Coffee Shops
213.5,debit,Gift
10,debit,Pharmacy
64.46,debit,Groceries
18.96,debit,Gas & Fuel
2.14,debit,Coffee Shops
6.45,debit,Uncategorized
0.19,credit,Interest Income
46.45,debit,Utilities
16,credit,Dividend & Cap Gains
16,debit,Investments
35.2,debit,Restaurants
2.12,debit,Coffee Shops
2.72,debit,Coffee Shops
23.64,debit,Shopping
16.25,debit,Restaurants
6.95,debit,Bank Fee
6.95,credit,Bank Fee
10,debit,Alcohol & Bars
10.86,debit,Coffee Shops
3.06,debit,Coffee Shops
10.86,debit,Coffee Shops
8.98,debit,Entertainment
21.33,debit,Clothing
9,debit,Hobbies
38.92,debit,Restaurants
2.92,debit,Coffee Shops
10.86,debit,Coffee Shops
20,debit,Doctor
21.09,debit,Investments
10.86,debit,Coffee Shops
59.99,debit,Internet
21.09,credit,Investments
34.05,debit,Groceries
10.7,debit,Uncategorized
9.86,debit,Coffee Shops
61.82,debit,Hobbies
1345.6,debit,Credit Card Payment
1490.45,credit,Paycheck
2.92,debit,Coffee Shops
10.96,debit,Coffee Shops
1345.6,credit,Credit Card Payment
20,debit,Web hosting
3.06,debit,Coffee Shops
35.02,debit,Restaurants
3.06,debit,Coffee Shops
49.74,debit,Hair
32.65,debit,Restaurants
425,debit,Rent
35,debit,Restaurants
5.67,debit,Coffee Shops
1404.48,credit,Investments
43.47,debit,Mobile Phone
20.45,debit,Gas & Fuel
3.06,debit,Coffee Shops
11.96,debit,Coffee Shops
34.1,debit,Groceries
59.99,debit,Credit Card Payment
18.72,debit,Pets
5.94,debit,Furnishings
8.71,debit,Restaurants
19.3,debit,Restaurants
59.99,credit,Credit Card Payment
8.6,debit,Restaurants
40,debit,Restaurants
8,debit,Uncategorized
10,debit,Pharmacy
0.01,debit,Investments
1404.48,debit,Buy
487.2,debit,Air Travel
21.39,debit,Hobbies
0.01,credit,Investments
9.86,debit,Coffee Shops
19.33,debit,Groceries
32.14,debit,Utilities
4,debit,ATM Fee
60,debit,Cash & ATM
2.5,debit,ATM Fee
1490.45,credit,Paycheck
1450.45,debit,Investments
0.01,credit,Dividend & Cap Gains
0.01,debit,Investments
2.92,debit,Coffee Shops
6.72,debit,Coffee Shops
22.47,debit,Groceries
15.92,debit,Restaurants
33.39,debit,Business Services
59.15,debit,Pet Food & Supplies
20.26,debit,Business Services
14,debit,Entertainment
12,debit,Restaurants
1450.45,credit,Investments
0,debit,Investments
0,debit,Investments
0,debit,Investments
0,debit,Investments
0,debit,Investments
9.86,debit,Coffee Shops
3.42,credit,Electronics & Software
19.3,debit,Groceries
30.25,debit,Utilities
0.19,credit,Interest Income
1.75,debit,Parking
10.96,debit,Coffee Shops
2.11,credit,Groceries
35.86,debit,Groceries
6.95,credit,Bank Fee
6.95,debit,Bank Fee
29.33,debit,Business Services
2.39,debit,Shopping
2.14,debit,Shopping
44.19,debit,Groceries
3.5,debit,Restaurants
5.62,debit,Coffee Shops
23.87,debit,Shopping
2.87,debit,Coffee Shops
8.63,debit,Coffee Shops
11.42,debit,Groceries
11.96,debit,Coffee Shops
13.85,debit,Groceries
25.91,debit,Restaurants
2.87,debit,Coffee Shops
2.48,debit,Home Improvement
2.92,debit,Coffee Shops
22.34,debit,Gas & Fuel
49.35,debit,Groceries
59.99,debit,Internet
41.36,debit,Restaurants
40.55,debit,Restaurants
5.33,debit,Coffee Shops
2.75,debit,Restaurants
23.74,debit,Restaurants
1490.45,credit,Paycheck
0.72,debit,Parking
1598.32,debit,Credit Card Payment
352,debit,Auto Insurance
1598.32,credit,Credit Card Payment
