Amount,Transaction Type,Category
39.99,debit,Internet
3.7,debit,Coffee Shops
4.52,debit,Coffee Shops
28.89,debit,Groceries
13,debit,Food & Dining
10,debit,Doctor
1490.45,credit,Paycheck
11.1,debit,Restaurants
2.46,debit,Coffee Shops
9.92,debit,Coffee Shops
24.1,debit,Pet Food & Supplies
2.46,debit,Coffee Shops
10.96,debit,Coffee Shops
4.52,debit,Groceries
2724.14,debit,Credit Card Payment
2724.14,credit,Credit Card Payment
2.34,debit,Coffee Shops
2.72,debit,Coffee Shops
850,debit,Rent
4.34,debit,Coffee Shops
4.55,debit,Pharmacy
264.33,debit,Sporting Goods
5.78,debit,Groceries
87.46,credit,Credit Card Payment
2.01,debit,Coffee Shops
2.46,debit,Coffee Shops
24,debit,Service & Parts
10.96,debit,Coffee Shops
63.06,debit,Restaurants
1.5,debit,Parking
2.46,debit,Coffee Shops
9.8,debit,Pharmacy
11,debit,Life Insurance
39.99,debit,Credit Card Payment
22.75,debit,Restaurants
68,debit,Eyecare
2.46,debit,Coffee Shops
10,debit,Doctor
1.75,debit,Parking
5.05,debit,Coffee Shops
2.31,debit,Coffee Shops
12.96,debit,Coffee Shops
19.54,debit,Home Improvement
39.99,credit,Credit Card Payment
751.8,credit,Income
13.29,debit,Fast Food
5.33,debit,Coffee Shops
2.34,debit,Coffee Shops
50,debit,Transfer
27.9,debit,Groceries
16.71,debit,Groceries
92.52,debit,Groceries
4.43,debit,Fast Food
12.59,debit,Shopping
5.34,debit,Gas & Fuel
65.3,debit,Gym
5.33,debit,Coffee Shops
2.06,debit,Coffee Shops
1488.99,credit,Paycheck
2.39,debit,Coffee Shops
10.96,debit,Coffee Shops
384.72,debit,Furnishings
2.99,debit,Coffee Shops
5.05,debit,Coffee Shops
10.96,debit,Coffee Shops
11.12,debit,Groceries
25,debit,Personal Care
2.31,debit,Coffee Shops
4.91,debit,Coffee Shops
10,debit,Doctor
8.44,debit,Groceries
120.28,debit,Clothing
210.66,debit,Clothing
80.46,debit,Utilities
3.53,debit,Groceries
10.61,debit,Groceries
137,debit,Hotel
13.5,debit,Restaurants
35.82,debit,Groceries
2.34,debit,Coffee Shops
45,debit,Hotel
0.28,credit,Interest Income
30.15,debit,Utilities
80,debit,Entertainment
15,debit,Restaurants
3.31,debit,Coffee Shops
1,debit,Parking
2.34,debit,Coffee Shops
80,debit,Cash & ATM
10.06,debit,Restaurants
2.72,debit,Coffee Shops
65.53,debit,Hobbies
35,debit,Hotel
121,debit,Hotel
6.95,credit,Bank Fee
6.95,debit,Bank Fee
98,debit,Air Travel
98,debit,Air Travel
6,debit,Coffee Shops
4.55,debit,Pharmacy
2.31,debit,Pharmacy
34.79,debit,Electronics & Software
16.39,debit,Restaurants
10,debit,Doctor
5.05,debit,Coffee Shops
1.48,debit,Pharmacy
14.12,debit,Restaurants
4.91,debit,Coffee Shops
8,debit,Restaurants
27.63,debit,Groceries
2.31,debit,Coffee Shops
11.86,debit,Coffee Shops
2.31,debit,Coffee Shops
10,debit,Doctor
64.78,credit,Income
2.46,debit,Coffee Shops
1.87,debit,Gym
39.99,debit,Internet
25.72,debit,Business Services
5.17,debit,Coffee Shops
1.38,debit,Coffee Shops
9.78,debit,Fast Food
8988.99,credit,Bonus
17.41,debit,Gas & Fuel
2.34,debit,Coffee Shops
2069.37,debit,Credit Card Payment
2.92,debit,Coffee Shops
48.13,debit,Groceries
51.52,debit,Gift
16.13,debit,Pharmacy
10.86,debit,Groceries
2.17,debit,Fast Food
18.99,debit,Movies & DVDs
15.98,debit,Groceries
12.49,debit,Restaurants
2069.37,credit,Credit Card Payment
5.33,debit,Coffee Shops
8.2,debit,Groceries
13.07,debit,Restaurants
27,debit,Travel
2.31,debit,Coffee Shops
2.92,debit,Coffee Shops
2.75,debit,Coffee Shops
19.72,debit,Restaurants
10,debit,Doctor
10.3,debit,Coffee Shops
11,debit,Life Insurance
37.29,debit,Groceries
2.72,debit,Coffee Shops
22.2,debit,Restaurants
12,debit,Restaurants
2.34,debit,Coffee Shops
35.5,debit,Alcohol & Bars
425,debit,Rent
27.05,debit,Groceries
5.33,debit,Coffee Shops
39.99,debit,Credit Card Payment
6.89,debit,Coffee Shops
5.35,debit,Coffee Shops
20.93,debit,Groceries
39.99,credit,Credit Card Payment
21.99,debit,Restaurants
9,debit,Uncategorized
2.39,debit,Coffee Shops
18.53,debit,Books & Supplies
2.31,debit,Coffee Shops
11.97,debit,Shopping
10,debit,Doctor
50,debit,Transfer
2.92,debit,Coffee Shops
5.33,debit,Coffee Shops
11.1,debit,Restaurants
1488.98,credit,Paycheck
99,debit,Electronics & Software
2.92,debit,Coffee Shops
20.02,debit,Restaurants
69.98,debit,Gym
14.66,debit,Pharmacy
2.34,debit,Coffee Shops
4.82,debit,Restaurants
5.33,debit,Coffee Shops
10.3,debit,Coffee Shops
60,debit,Cash & ATM
3.18,debit,Coffee Shops
52.86,debit,Groceries
81.37,debit,Gift
15.73,debit,Gas & Fuel
13.63,debit,Coffee Shops
20,debit,Alcohol & Bars
11.1,debit,Restaurants
2.01,debit,Gas & Fuel
18.01,debit,Gas & Fuel
5.33,debit,Coffee Shops
0.3,credit,Interest Income
58.61,debit,Utilities
7.59,debit,Coffee Shops
10,debit,Doctor
5.72,debit,Coffee Shops
1.67,debit,Groceries
6.45,debit,Coffee Shops
27,debit,Shopping
2.34,debit,Coffee Shops
7.5,debit,Alcohol & Bars
2.34,debit,Coffee Shops
30.95,debit,Utilities
6.95,credit,Bank Fee
2123.91,credit,Freelance
6.95,debit,Bank Fee
51.5,debit,Shopping
3.92,debit,Coffee Shops
35.77,debit,Home Improvement
28.37,debit,Groceries
10.85,debit,Furnishings
3.19,debit,Sporting Goods
1258.67,debit,Furnishings
11.93,debit,Furnishings
6.57,debit,Furnishings
2.92,debit,Coffee Shops
20,debit,Service & Parts
32.77,debit,Restaurants
10.26,debit,Fast Food
5.33,debit,Coffee Shops
13.14,debit,Groceries
34.65,debit,Entertainment
8.25,debit,Food & Dining
2.75,debit,Coffee Shops
6.5,debit,Alcohol & Bars
8,debit,Restaurants
12.12,debit,Alcohol & Bars
9.59,debit,Coffee Shops
8.44,debit,Groceries
11.01,debit,Restaurants
425,debit,Rent
7.29,debit,Fast Food
39.99,debit,Internet
3.32,debit,Gas & Fuel
2.34,debit,Coffee Shops
4.43,debit,Fast Food
1899.99,credit,Paycheck
16.24,debit,Restaurants
10,debit,Doctor
15.6,debit,Business Services
26.42,debit,Groceries
207.61,debit,Taxes
2.31,debit,Coffee Shops
5.09,debit,Business Services
3.53,debit,Restaurants
19.74,debit,Hair
1515.74,debit,Credit Card Payment
1515.74,credit,Credit Card Payment
41.2,debit,Groceries
18.68,debit,Rental Car & Taxi
24.9,debit,Furnishings
2.48,debit,Coffee Shops
2.48,debit,Coffee Shops
11.25,debit,Shopping
17.76,debit,Food & Dining
8.5,debit,Restaurants
35.52,debit,Groceries
26.46,debit,Gas & Fuel
12.26,debit,Fast Food
33.53,debit,Restaurants
5.59,debit,Groceries
4.67,debit,Coffee Shops
1,debit,Parking
19,debit,Restaurants
41.16,debit,Restaurants
26.2,debit,Restaurants
13.07,debit,Restaurants
39.99,debit,Credit Card Payment
11,debit,Life Insurance
1.62,debit,Coffee Shops
7.05,debit,Coffee Shops
39.99,credit,Credit Card Payment
11.1,debit,Restaurants
3.06,debit,Restaurants
4.79,debit,Coffee Shops
65.3,debit,Gym
14.18,debit,Groceries
14.06,debit,Restaurants
106.31,debit,Service & Parts
50,debit,Transfer
10.65,debit,Groceries
2.46,debit,Coffee Shops
117.78,debit,Rental Car & Taxi
22,debit,Alcohol & Bars
14.28,debit,Restaurants
6.56,debit,Rental Car & Taxi
13.14,debit,Restaurants
2.92,debit,Coffee Shops
10.17,debit,Coffee Shops
21.48,debit,Gas & Fuel
10.05,debit,Restaurants
1.76,debit,Parking
9,debit,Restaurants
31.56,debit,Restaurants
1488.99,credit,Paycheck
2.39,debit,Coffee Shops
2.92,debit,Coffee Shops
98.98,debit,Air Travel
21.23,debit,Groceries
10,debit,Doctor
34.49,debit,Utilities
10.85,debit,Furnishings
2.87,debit,Coffee Shops
15.74,debit,Misc Expenses
9.16,debit,Business Services
15.17,debit,Restaurants
18.76,debit,Groceries
0.32,credit,Interest Income
2.92,debit,Coffee Shops
16,debit,Restaurants
9.5,debit,Alcohol & Bars
12.12,debit,Fast Food
2.19,debit,Groceries
38.2,debit,Restaurants
5,debit,Alcohol & Bars
175.31,debit,Clothing
30,debit,Hair
301,debit,Auto Insurance
2.34,debit,Coffee Shops
12.51,debit,Restaurants
18.73,debit,Groceries
6.95,credit,Bank Fee
6.95,debit,Bank Fee
30.95,debit,Utilities
11.1,debit,Restaurants
2.34,debit,Coffee Shops
7.59,debit,Coffee Shops
3.75,debit,Coffee Shops
31.36,debit,Restaurants
86.14,debit,Groceries
5.32,debit,Coffee Shops
57.44,debit,Restaurants
44.95,debit,Entertainment
2.83,debit,Parking
39.99,debit,Internet
29.96,debit,Groceries
12,debit,Gym
40.62,debit,Restaurants
2.34,debit,Coffee Shops
2.34,debit,Coffee Shops
12.76,debit,Restaurants
1488.99,credit,Paycheck
22.84,debit,Food & Dining
16.52,debit,Entertainment
1685.28,debit,Credit Card Payment
68.37,credit,Income
119.21,debit,Auto Insurance
12.65,debit,Fast Food
4.79,debit,Coffee Shops
9,debit,Restaurants
13.08,debit,Groceries
10,debit,Pharmacy
1685.28,credit,Credit Card Payment
4,debit,Personal Care
2.92,debit,Coffee Shops
29.34,debit,Coffee Shops
11.9,debit,Groceries
22.84,debit,Food & Dining
6.09,debit,Food & Dining
2.92,debit,Coffee Shops
7.5,debit,Restaurants
32.63,debit,Restaurants
5.4,debit,Coffee Shops
7.01,debit,Coffee Shops
6.52,debit,Restaurants
21.56,debit,Restaurants
23.56,debit,Groceries
5.89,debit,Restaurants
4.85,debit,Coffee Shops
11,debit,Life Insurance
39.99,debit,Credit Card Payment
0.5,debit,Parking
9.34,debit,Restaurants
39.99,credit,Credit Card Payment
425,debit,Rent
50,debit,Transfer
50.2,debit,Groceries
4.37,debit,Pharmacy
15.22,debit,Books & Supplies
22.74,debit,Food & Dining
2.39,debit,Coffee Shops
72.8,debit,Gym
27.53,debit,Groceries
47.17,debit,Groceries
21.19,debit,Groceries
30.25,debit,Restaurants
12.48,debit,Restaurants
16.66,debit,Groceries
1488.98,credit,Paycheck
4,debit,Alcohol & Bars
4.89,debit,Restaurants
12.56,debit,Restaurants
4.5,debit,Alcohol & Bars
9.8,debit,Shipping
29.23,debit,Utilities
200.05,debit,Furnishings
9,debit,Restaurants
2.34,debit,Coffee Shops
2.39,debit,Coffee Shops
4.1,debit,Fast Food
4.65,debit,Fast Food
3.24,debit,Fast Food
4.67,debit,Coffee Shops
2.34,debit,Coffee Shops
30,debit,Hair
0.3,credit,Interest Income
9.91,debit,Groceries
7.01,debit,Coffee Shops
2.39,debit,Coffee Shops
67.53,debit,Utilities
2.34,debit,Coffee Shops
26.77,debit,Groceries
6.95,credit,Bank Fee
6.95,debit,Bank Fee
17.43,debit,Books & Supplies
81.66,credit,Income
33.95,debit,Shopping
9.18,debit,Restaurants
10.13,debit,Groceries
2.92,debit,Coffee Shops
1.92,debit,Shopping
35.32,debit,Restaurants
47.58,debit,Groceries
32.87,debit,Furnishings
9.78,debit,Groceries
12.75,debit,Restaurants
1.03,debit,Finance Charge
10.25,debit,Travel
12.24,debit,Restaurants
18.71,debit,Restaurants
8.38,debit,Restaurants
62.43,debit,Business Services
20.7,debit,Restaurants
7.8,debit,Restaurants
39.99,debit,Internet
1488.99,credit,Paycheck
9.8,debit,Misc Expenses
1924.78,debit,Credit Card Payment
10,debit,Service Fee
1924.78,credit,Credit Card Payment
119.21,debit,Auto Insurance
171.36,debit,Cash & ATM
11,debit,Life Insurance
425,debit,Rent
10,debit,Service Fee
1130.23,debit,Credit Card Payment
139.72,debit,Misc Expenses
7.78,debit,Travel
7.28,debit,Travel
10,debit,Service Fee
20.7,debit,Business Services
13.98,debit,Furnishings
11.46,debit,Travel
111.8,debit,Cash & ATM
1130.23,credit,Credit Card Payment
13.32,debit,Restaurants
10.18,debit,Business Services
10.09,debit,Cash & ATM
16.29,debit,Cash & ATM
9.08,debit,Restaurants
5,debit,Groceries
50,debit,Transfer
123.3,credit,Income
60,debit,Cash & ATM
5,debit,Groceries
24.5,debit,Charity
6.58,debit,Coffee Shops
11.1,debit,Restaurants
65.3,debit,Gym
11.05,debit,Restaurants
14.17,debit,Restaurants
20.68,debit,Restaurants
16.25,debit,Food & Dining
1488.99,credit,Paycheck
8.41,debit,Groceries
5.23,debit,Coffee Shops
123.3,debit,Service & Parts
2.12,debit,Coffee Shops
13,debit,Movies & DVDs
18.4,debit,Groceries
76.63,debit,Clothing
2.72,debit,Coffee Shops
2.87,debit,Coffee Shops
13,debit,Amusement
5.12,debit,Coffee Shops
16.18,debit,Restaurants
7,debit,Groceries
29.31,debit,Utilities
9.79,debit,Groceries
92.66,debit,Clothing
2.81,debit,Coffee Shops
2.87,debit,Coffee Shops
2.34,debit,Coffee Shops
0.33,credit,Interest Income
2.87,debit,Coffee Shops
51.7,debit,Gym
12,debit,Alcohol & Bars
94.03,debit,Utilities
58.35,debit,Furnishings
2.12,debit,Coffee Shops
44.1,debit,Groceries
6,debit,Personal Care
7.5,debit,Personal Care
19.66,debit,Restaurants
19,debit,Personal Care
8.68,debit,Groceries
12.11,debit,Restaurants
3.1,debit,Coffee Shops
6.95,credit,Bank Fee
6.95,debit,Bank Fee
26,debit,Personal Care
4.62,debit,Coffee Shops
38.72,debit,Electronics & Software
2.61,debit,Coffee Shops
7.15,debit,Coffee Shops
2.08,debit,Groceries
178.24,credit,Income
20.66,debit,Home Improvement
2.61,debit,Coffee Shops
38.04,debit,Gift
2.61,debit,Coffee Shops
13.12,debit,Fast Food
1.87,debit,Gym
13,debit,Groceries
4.84,debit,Coffee Shops
18.25,debit,Fast Food
11.9,debit,Home Improvement
1305.27,debit,Hide from Budgets & Trends
42.31,debit,Groceries
9.62,debit,Coffee Shops
39.99,debit,Internet
2.61,debit,Coffee Shops
1.5,debit,Auto & Transport
12.9,debit,Coffee Shops
11.51,debit,Gas & Fuel
1488.99,credit,Paycheck
39.25,debit,Hair
13.1,debit,Restaurants
2.61,debit,Coffee Shops
5.55,debit,Groceries
43.2,debit,Restaurants
40.54,debit,Groceries
2.61,debit,Coffee Shops
6.45,debit,Restaurants
4.62,debit,Financial Advisor
150.48,debit,Gym
119.21,debit,Auto Insurance
12.1,debit,Home Services
8.71,debit,Coffee Shops
3,debit,Shopping
30.91,debit,Groceries
25.11,debit,Groceries
14.32,debit,Fast Food
2.97,debit,Coffee Shops
12,debit,Restaurants
0.5,debit,Uncategorized
425,debit,Rent
15,debit,Auto & Transport
9.77,debit,Groceries
13.11,debit,Restaurants
2.61,debit,Coffee Shops
1419.86,credit,Hide from Budgets & Trends
1320.63,debit,Credit Card Payment
11,debit,Life Insurance
4.84,debit,Coffee Shops
1320.63,credit,Credit Card Payment
8,debit,Food & Dining
84.88,debit,Gym
24.89,debit,Gas & Fuel
36.85,debit,Groceries
13,debit,Restaurants
50,debit,Transfer
34.45,debit,Bank Fee
32.1,debit,Home Supplies
1.38,debit,Gas & Fuel
21.39,debit,Clothing
53.49,debit,Clothing
35.31,debit,Clothing
10,debit,Groceries
72.33,debit,Restaurants
13.11,debit,Restaurants
16.45,debit,Fast Food
4.73,debit,Coffee Shops
30.17,debit,Utilities
343,debit,State Tax
1488.98,credit,Paycheck
12.96,debit,Fast Food
2.61,debit,Coffee Shops
19.1,debit,Groceries
1013,debit,Hide from Budgets & Trends
11.96,debit,Restaurants
4.73,debit,Coffee Shops
10,debit,Service Fee
9.78,debit,Restaurants
41.32,debit,Groceries
22.5,debit,Transfer for Cash Spending
10.5,debit,Restaurants
14.68,debit,Coffee Shops
7.69,debit,Fast Food
2.41,debit,Coffee Shops
49.57,debit,Restaurants
78.52,debit,Utilities
14.02,debit,Restaurants
4.24,debit,Coffee Shops
0.3,credit,Interest Income
7.36,debit,Coffee Shops
11.1,debit,Restaurants
10.47,debit,Home Improvement
31.32,debit,Home Improvement
6.95,credit,Bank Fee
6.95,debit,Bank Fee
10.32,debit,Restaurants
1419.86,debit,Hide from Budgets & Trends
2.17,debit,Coffee Shops
20.77,debit,Restaurants
43.66,debit,Furnishings
30.37,debit,Groceries
2.44,debit,Coffee Shops
70.66,debit,Restaurants
11.2,debit,Fast Food
39.99,debit,Internet
2.12,debit,Coffee Shops
27.01,debit,Gas & Fuel
1.87,debit,Gym
6.52,debit,Groceries
400,debit,Gifts & Donations
2.64,debit,Coffee Shops
7.15,debit,Coffee Shops
47.05,debit,Groceries
1488.99,credit,Paycheck
15.19,credit,Groceries
2.41,debit,Coffee Shops
18.3,debit,Groceries
97.12,credit,Income
119.21,debit,Auto Insurance
8.65,debit,Groceries
15,debit,Restaurants
8.6,debit,Groceries
6.41,debit,Misc Expenses
9.35,debit,Fast Food
8.88,debit,Restaurants
2.12,debit,Coffee Shops
21.03,debit,Restaurants
11.44,debit,Restaurants
19.86,debit,Misc Expenses
32.85,debit,Groceries
2.41,debit,Coffee Shops
11,debit,Life Insurance
12.11,debit,Restaurants
100,debit,Cash & ATM
1665.29,debit,Credit Card Payment
1665.29,credit,Credit Card Payment
26.83,debit,Gas & Fuel
22.03,debit,Restaurants
16.48,debit,Movies & DVDs
425,debit,Rent
16.61,debit,Groceries
19.74,debit,Hair
154.5,debit,Gym
11.82,debit,Food & Dining
4.69,debit,Furnishings
4.24,debit,Coffee Shops
8.44,debit,Groceries
47.66,debit,Groceries
10,debit,Doctor
29.46,debit,Fast Food
2.12,debit,Coffee Shops
5,debit,Coffee Shops
1488.99,credit,Paycheck
4.24,debit,Coffee Shops
16,debit,Alcohol & Bars
32.83,debit,Utilities
5.38,debit,Coffee Shops
79.58,debit,Restaurants
12,debit,Fast Food
61.4,debit,Utilities
40.62,debit,Groceries
8,debit,Personal Care
0.28,credit,Interest Income
14.43,debit,Groceries
21.42,debit,Furnishings
2.12,debit,Coffee Shops
3.33,debit,Home Improvement
3.78,debit,Restaurants
31.64,debit,Shopping
74.28,debit,Groceries
4.77,debit,Groceries
2.17,debit,Coffee Shops
11.81,debit,Food & Dining
6.95,debit,Bank Fee
6.95,credit,Bank Fee
10,debit,Auto & Transport
5.12,debit,Coffee Shops
164.91,debit,Gym
27.43,debit,Groceries
11.1,debit,Restaurants
2.12,debit,Coffee Shops
21.57,debit,Restaurants
1488.99,credit,Paycheck
1.86,debit,Financial Advisor
39.99,debit,Internet
13.11,debit,Restaurants
2.95,debit,ATM Fee
60,debit,Cash & ATM
2.5,debit,ATM Fee
36.88,debit,Check
15,debit,Furnishings
29.34,debit,Groceries
34.02,debit,Groceries
9.19,debit,Coffee Shops
57,debit,Transfer for Cash Spending
7,debit,Food & Dining
2.12,debit,Coffee Shops
30,debit,Personal Care
119.21,debit,Auto Insurance
8.88,debit,Restaurants
2.12,debit,Coffee Shops
50,debit,Hotel
39.77,debit,Groceries
2.12,debit,Coffee Shops
1811.82,debit,Hide from Budgets & Trends
11,debit,Life Insurance
123,debit,Hotel
13.47,debit,Entertainment
2.37,debit,Groceries
12.29,debit,Food & Dining
34.91,debit,Groceries
122.21,debit,Home Improvement
40.19,debit,Service & Parts
4.78,debit,Coffee Shops
82.33,debit,Furnishings
19,debit,Restaurants
40.56,debit,Restaurants
1811.82,credit,Credit Card Payment
12.11,debit,Restaurants
7.15,debit,Coffee Shops
19.99,debit,Amusement
9.48,debit,Restaurants
10,debit,Doctor
36.89,debit,Groceries
20,debit,Pharmacy
84.88,debit,Gym
425,debit,Rent
42.67,debit,Groceries
28.03,debit,Groceries
5.71,debit,Coffee Shops
3.18,debit,Furnishings
4.31,debit,Home Improvement
16.84,debit,Groceries
2.54,debit,Coffee Shops
7,debit,Restaurants
44.39,debit,Groceries
1488.98,credit,Paycheck
14.17,debit,Restaurants
11.1,debit,Restaurants
99.99,debit,Shopping
29.49,debit,Utilities
28.33,debit,Restaurants
0.33,credit,Interest Income
21.59,debit,Utilities
12.69,debit,Shopping
7.32,debit,Groceries
43.83,debit,Furnishings
54.62,debit,Groceries
38.3,debit,Clothing
24.28,debit,Entertainment
12.09,debit,Groceries
24.58,debit,Groceries
2.41,debit,Coffee Shops
34.3,debit,Groceries
11.09,debit,Fast Food
6.95,debit,Bank Fee
6.95,credit,Bank Fee
7.06,debit,Fast Food
7.19,debit,Fast Food
5,debit,Movies & DVDs
13.11,debit,Restaurants
27.98,debit,Gym
741.38,credit,Income
33.41,debit,Groceries
17.89,debit,Restaurants
39.99,debit,Internet
8.64,debit,Restaurants
18.62,debit,Furnishings
9,debit,Movies & DVDs
6.84,debit,Restaurants
6.24,debit,Restaurants
12.62,debit,Groceries
11.39,debit,Restaurants
1553.77,credit,Paycheck
14.71,debit,Restaurants
119.21,debit,Auto Insurance
8.14,debit,Pharmacy
66.24,debit,Groceries
27.98,debit,Food & Dining
26.61,debit,Gas & Fuel
21.7,debit,Lawn & Garden
5.55,debit,Groceries
26.14,debit,Restaurants
1128.73,debit,Hide from Budgets & Trends
11,debit,Life Insurance
18.78,debit,Pharmacy
10.53,debit,Groceries
1128.73,credit,Credit Card Payment
850,debit,Rent
21.56,debit,Groceries
28.3,debit,Groceries
9.77,debit,Groceries
302,debit,Hotel
9.68,debit,Restaurants
14.25,debit,Groceries
8.23,debit,Restaurants
83.01,debit,Gym
17.95,debit,Restaurants
6.43,debit,Coffee Shops
279.35,debit,Clothing
1488.99,credit,Paycheck
6.99,debit,Shopping
10.96,debit,Groceries
2.41,debit,Coffee Shops
38.75,debit,Utilities
66.32,debit,Restaurants
7.64,debit,Shopping
279.35,debit,Clothing
3.84,debit,Groceries
16.09,debit,Gas & Fuel
21.91,debit,Furnishings
279.35,credit,Clothing
21.41,debit,Groceries
17.06,debit,Shopping
14.38,debit,Entertainment
5.26,debit,Groceries
47.78,debit,Groceries
7.15,debit,Coffee Shops
28.15,debit,Home Services
18.93,debit,Utilities
200.7,debit,Mobile Phone
0.3,credit,Interest Income
20.33,debit,Groceries
6.95,debit,Bank Fee
6.95,credit,Bank Fee
22.28,debit,Restaurants
20.43,debit,Gas & Fuel
18.58,debit,Personal Care
17.44,debit,Groceries
22.79,debit,Lawn & Garden
4.41,debit,Coffee Shops
65,debit,Personal Care
8.4,debit,Groceries
1.87,debit,Gym